"31/01/2018,","17:15:02.036393,"
"31/01/2018,","17:15:02.036464,"
"31/01/2018,","17:15:02.036536,"
"31/01/2018,","17:15:02.036604,"
"31/01/2018,","17:15:02.036674,"
"31/01/2018,","17:15:02.036745,"
"31/01/2018,","17:15:02.036813,"
"31/01/2018,","17:15:02.036884,"
"31/01/2018,","17:15:02.036953,"
"31/01/2018,","17:15:02.037021,"
"31/01/2018,","17:15:02.037094,"
"31/01/2018,","17:15:02.037167,"
"31/01/2018,","17:15:02.037240,"
"31/01/2018,","17:15:02.037312,"
"31/01/2018,","17:15:02.037381,"
"31/01/2018,","17:15:02.037468,"
"31/01/2018,","17:15:02.037542,"
"31/01/2018,","17:15:02.037611,"
"31/01/2018,","17:15:02.037681,"
"31/01/2018,","17:15:02.037752,"
"31/01/2018,","17:15:02.037827,"
"31/01/2018,","17:15:02.037896,"
"31/01/2018,","17:15:02.037963,"
"31/01/2018,","17:15:02.038034,"
"31/01/2018,","17:15:02.038102,"
"31/01/2018,","17:15:02.038171,"
"31/01/2018,","17:15:02.038226,"
"31/01/2018,","17:15:02.038296,"
"31/01/2018,","17:15:02.038363,"
"31/01/2018,","17:15:02.038440,"
"31/01/2018,","17:15:02.038504,"
"31/01/2018,","17:15:02.038586,"
"31/01/2018,","17:15:02.038641,"
"31/01/2018,","17:15:02.038709,"
"31/01/2018,","17:15:02.038777,"
"31/01/2018,","17:15:02.038876,"
"31/01/2018,","17:15:02.038972,"
"31/01/2018,","17:15:02.039087,"
"31/01/2018,","17:15:02.039180,"
"31/01/2018,","17:15:02.039306,"
"31/01/2018,","17:15:02.039379,"
"31/01/2018,","17:15:02.039428,"
"31/01/2018,","17:15:02.039496,"
"31/01/2018,","17:15:02.039566,"
"31/01/2018,","17:15:02.039622,"
"31/01/2018,","17:15:02.039674,"
"31/01/2018,","17:15:02.039744,"
"31/01/2018,","17:15:02.039833,"
"31/01/2018,","17:15:02.039880,"
"31/01/2018,","17:15:02.039948,"
"31/01/2018,","17:15:02.040025,"
"31/01/2018,","17:15:02.040082,"
"31/01/2018,","17:15:02.040153,"
"31/01/2018,","17:15:02.040229,"
"31/01/2018,","17:15:02.040292,"
"31/01/2018,","17:15:02.040344,"
"31/01/2018,","17:15:02.040409,"
"31/01/2018,","17:15:02.040494,"
"31/01/2018,","17:15:02.040541,"
"31/01/2018,","17:15:02.040611,"
"31/01/2018,","17:15:02.040686,"
"31/01/2018,","17:15:02.040749,"
"31/01/2018,","17:15:02.040802,"
"31/01/2018,","17:15:02.040869,"
"31/01/2018,","17:15:02.040956,"
"31/01/2018,","17:15:02.041003,"
"31/01/2018,","17:15:02.041071,"
"31/01/2018,","17:15:02.041146,"
"31/01/2018,","17:15:02.041204,"
"31/01/2018,","17:15:02.041255,"
"31/01/2018,","17:15:02.041319,"
"31/01/2018,","17:15:02.041402,"
"31/01/2018,","17:15:02.041450,"
"31/01/2018,","17:15:02.041522,"
"31/01/2018,","17:15:02.041586,"
"31/01/2018,","17:15:02.041649,"
"31/01/2018,","17:15:02.041734,"
"31/01/2018,","17:15:02.041826,"
"31/01/2018,","17:15:02.041896,"
"31/01/2018,","17:15:02.041977,"
"31/01/2018,","17:15:02.042063,"
"31/01/2018,","17:15:02.042113,"
"31/01/2018,","17:15:02.042163,"
"31/01/2018,","17:15:02.042234,"
"31/01/2018,","17:15:02.042310,"
"31/01/2018,","17:15:02.042394,"
"31/01/2018,","17:15:02.042459,"
"31/01/2018,","17:15:02.042545,"
"31/01/2018,","17:15:02.042596,"
"31/01/2018,","17:15:02.042666,"
